1933-10-09,2,7099,VANESSA,HUGH WALPOLE
1933-10-09,3,3272,NO SECOND SPRING,JANET BEITH
1933-10-16,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-10-16,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-10-16,3,2353,IDA ELISABETH,SIGRID UNDSET
1933-10-23,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-10-23,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-10-23,3,5009,THE DRAGON MURDER CASE,S. S. VAN DINE
1933-10-30,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-10-30,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-10-30,3,5009,THE DRAGON MURDER CASE,S. S. VAN DINE
1933-11-06,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-11-06,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-11-06,3,5009,THE DRAGON MURDER CASE,S. S. VAN DINE
1933-11-13,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-11-13,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-11-13,3,327,AFTER SUCH PLEASURES,DOROTHY PARKER
1933-11-20,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-11-20,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-11-20,3,327,AFTER SUCH PLEASURES,DOROTHY PARKER
1933-11-27,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-11-27,2,3382,ONE MORE RIVER,JOHN GALSWORTHY
1933-11-27,3,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1933-12-04,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-12-04,2,802,BONFIRE,DOROTHY CANFIELD
1933-12-04,3,327,AFTER SUCH PLEASURES,DOROTHY PARKER
1933-12-11,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-12-11,2,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1933-12-11,3,327,AFTER SUCH PLEASURES,DOROTHY PARKER
1933-12-18,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-12-18,2,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1933-12-18,3,3344,OIL FOR THE LAMPS OF CHINA,ALICE TISDALE HOBART
1933-12-25,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1933-12-25,2,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1933-12-25,3,3382,ONE MORE RIVER,JOHN GALSWORTHY
1934-01-01,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-01-01,2,4635,THE BIRD OF DAWNING,JOHN MASEFIELD
1934-01-01,3,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1934-01-08,1,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-01-08,2,3344,OIL FOR THE LAMPS OF CHINA,ALICE TISDALE HOBART
1934-01-08,3,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1934-01-15,1,6494,THE THIN MAN,DASHIELL HAMMETT
1934-01-15,2,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-01-15,3,2960,MEN AGAINST THE SEA,CHARLES NORDHOFF AND JAMES N. HALL
1934-01-22,1,6494,THE THIN MAN,DASHIELL HAMMETT
1934-01-22,2,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-01-22,3,5829,THE MOTHER,PEARL S. BUCK
1934-01-22,4,2960,MEN AGAINST THE SEA,CHARLES NORDHOFF AND JAMES N. HALL
1934-01-22,5,3957,SEA LEVEL,ANNE PARRISH
1934-01-22,6,4129,SKIN AND BONES,THORNE SMITH
1934-01-22,7,3344,OIL FOR THE LAMPS OF CHINA,ALICE TISDALE HOBART
1934-01-22,8,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
